group,file,delimiter,rows,columns,granularity,size_kb
Group 1,Group 1/Results/Complete_dataset.csv,comma,47,13,per-run,5.9
Group 1,Group 1/Results/Pyramids_Environment/Pyramids_configs.csv,comma,24,13,per-run,3.1
Group 1,Group 1/Results/Worm_Environment/Worm_configs.csv,comma,23,13,per-run,2.9
Group 11,Group 11/MeanReward_training_data.csv,comma,15892,4,per-step,491.7
Group 11,Group 11/PushBlock-Final-Dataset-20260115.csv,comma,31867,28,per-run,7320.5
Group 11,Group 11/PushBlock-training-20251127.csv,comma,1000,28,per-run,228.3
Group 14,Group 14/SCTWRUN2-additional-data/SCTWRUN2_entropy.csv,comma,494,3,per-step,21.2
Group 14,Group 14/SCTWRUN2-additional-data/SCTWRUN2_group_cumulative_reward.csv,comma,498,3,per-step,22.5
Group 14,Group 14/SCTWRUN2-additional-data/SCTWRUN2_policy_loss.csv,comma,239,3,per-step,10.9
Group 14,Group 14/SCTWRUN2-additional-data/SCTWRUN2_SoccerTwos.csv,comma,498,3,per-step,21.7
Group 14,Group 14/SCTWRUN2-additional-data/SCTWRUN2_value_loss.csv,comma,239,3,per-step,10.8
Group 14,Group 14/training_data_soccer_twos_run1.csv,comma,1247,14,per-step,148.8
Group 14,Group 14/training_data_soccer_twos_run2.csv,comma,498,14,per-step,53.8
Group 14,Group 14/training_data_SOCCERTWOS_COMMUNITY_RUN1.csv,comma,500,23,per-step,87.7
Group 14,Group 14/training_data_SOCCERTWOS_NORMAL_RUN1.csv,comma,500,23,per-step,82.2
Group 14,Group 14/training_data_SOCCERTWOS_SMALL_RUN2.csv,comma,500,23,per-step,80.1
Group 14,Group 14/training_data_SOCCERTWOS_STABLE_RUN1.csv,comma,250,23,per-step,40.6
Group 14,Group 14/training_data_WORM_CAI_RUN1.csv,comma,67,23,per-step,14.8
Group 14,Group 14/training_data_WORM_NORMAL_RUN1.csv,comma,67,23,per-step,14.8
Group 14,Group 14/training_data_worm_ppo_run1.csv,comma,169,14,per-step,25.7
Group 14,Group 14/training_data_WORM_SAC_HAARNOJA_RUN1.csv,comma,67,23,per-step,14.2
Group 14,Group 14/training_data_WORM_SAC_NORMAL_RUN2.csv,comma,67,23,per-step,14.3
Group 14,Group 14/training_data_worm_sac_run1.csv,comma,167,14,per-step,24.1
Group 14,Group 14/training_data_WORM_SCHULMAN_MUJOCO_RUN1.csv,comma,66,23,per-step,13.7
Group 14,Group 14/training_data_WORM_SCHULMAN_ROBOSCHOOL_RUN1.csv,comma,66,23,per-step,14.6
Group 14,Group 14/training_data_WORM_ZHANG_RUN1.csv,comma,66,23,per-step,14.4
Group 16,Group 16/data.csv,comma,200,50,per-step,114.7
Group 5,Group 5/data.csv,comma,288,57,per-run,76.2
Group 6,Group 6/combined_results.csv,comma,3913,34,per-run,941.3
Group 6,Group 6/combined_results_old.csv,comma,28,34,per-step,4.9
Group 7,Group 7/Data.csv,comma,8389,24,per-run,2326.1
Group 7,Group 7/new_data.csv,comma,1237,24,per-run,281.8
Group 7,Group 7/old_data.csv,comma,8389,24,per-run,2326.1
Group 8,Group 8/training_data_1/encoded_dataset.csv,semicolon,432,38,unknown,92.5
Group 8,Group 8/training_data_1/main.csv,semicolon,432,44,per-run,146.8
Group 9,Group 9/dataset.csv,comma,164,19,per-run,39.9
