column,n_groups,Group 1,Group 5,Group 6,Group 7,Group 8,Group 9,Group 11,Group 14,Group 16
learning_rate,9,x,x,x,x,x,x,x,x,x
batch_size,8,x,x,x,x,x,,x,x,x
buffer_size,8,,x,x,x,x,x,x,x,x
run_id,8,x,x,x,x,x,x,x,x,
beta,6,,x,,x,x,,x,x,x
epsilon,6,,x,,x,x,,x,x,x
num_epoch,6,,x,,x,x,,x,x,x
gamma,5,,,,x,x,x,x,,x
hidden_units,5,,x,,x,x,,x,,x
lambd,5,,x,,,x,,x,x,x
max_steps,5,,x,,x,x,,x,,x
num_layers,5,,x,,x,x,,x,,x
time_horizon,5,,x,,x,x,,x,,x
algorithm,4,,,x,,,x,,x,x
cpu_cores,4,,x,,x,,,x,,x
summary_freq,4,,x,,,x,,x,,x
env_name,3,x,,,,x,x,,,
keep_checkpoints,3,,x,,,x,,x,,
learning_rate_schedule,3,,x,,,x,,,x,
normalize,3,,x,,x,x,,,,
strength,3,,,,,x,,x,,x
timestamp,3,,,,x,,,,x,x
environment,2,,,x,,,,,x,
final_mean_reward,2,,,,,x,,,,x
init_entcoef,2,,,,,x,,,,x
lambda,2,,,,x,,x,,,
mean_group_reward,2,,,,,,x,,x,
reward_signal_steps_per_update,2,,,,,x,,,,x
seed,2,,,x,,x,,,,
steps,2,,,x,,,,,,x
steps_to_threshold,2,x,,x,,,,,,
tau,2,,,,,x,,,,x
total_steps,2,,x,,,,x,,,
trainer_type,2,,x,,,,,,x,
vis_encode_type,2,,x,,,x,,,,
ELO,1,,,,,,x,,,
Step,1,,,,,,,,x,
Value,1,,,,,,,,x,
Wall time,1,,,,,,,,x,
algo,1,,,,,x,,,,
algo_name,1,x,,,,,,,,
algo_sac,1,,,,,x,,,,
average_cpu,1,,,x,,,,,,
average_ram,1,,,x,,,,,,
avg_cpu_usage,1,,,,,x,,,,
avg_ram_usage,1,,,,,x,,,,
bath_size,1,,,,,,x,,,
behavioral_cloning,1,,x,,,,,,,
best_reward,1,,,x,,,,,,
best_reward_before_timeout,1,,,x,,,,,,
best_reward_step,1,,,x,,,,,,
beta_schedule,1,,x,,,,,,,
buffer_init_steps,1,,,,,x,,,,
checkpoint_interval,1,,x,,,,,,,
config_name,1,,,,,,,x,,
converged,1,,,,,x,,,,
cpu_architecture,1,,x,,,,,,,
cpu_avg_python,1,,,,,,,x,,
cpu_avg_unity,1,,,,,,,x,,
cpu_clock_ghz,1,,,,,x,,,,
cpu_cores_logical,1,x,,,,,,,,
cpu_frequency,1,,,,x,,,,,
cpu_frequency_khz,1,,x,,,,,,,
cpu_logical_cores,1,,,,,x,,,,
cpu_model,1,,,,x,,,,,
cpu_peak_python,1,,,,,,,x,,
cpu_peak_unity,1,,,,,,,x,,
cpu_physical_cores,1,,,,,x,,,,
cpu_threads,1,,x,,,,,,,
cpu_usage_avg_mb,1,,,,,,,,x,
cpu_usage_avg_percent,1,,,,,,,,x,
